Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
1,Showtime,First Edition,Base Set,Fire,,135,Shohei Ohtani,0,
2,Showtime,First Edition,Base Set,Ice,,135,Shohei Ohtani,0,
3,Showtime,First Edition,Base Set,Steel,,130,Shohei Ohtani,0,
4,Matata,First Edition,Base Set,Fire,,135,Ronald Acuna Jr.,0,
5,Matata,First Edition,Base Set,Ice,,135,Ronald Acuna Jr.,0,
6,Matata,First Edition,Base Set,Steel,,130,Ronald Acuna Jr.,0,
7,Gaveler,First Edition,Base Set,Fire,,135,Aaron Judge,0,
8,Gaveler,First Edition,Base Set,Ice,,135,Aaron Judge,0,
9,Gaveler,First Edition,Base Set,Steel,,130,Aaron Judge,0,
10,Burrocious,First Edition,Base Set,Fire,,135,Joe Burrow,0,
11,Burrocious,First Edition,Base Set,Ice,,135,Joe Burrow,0,
12,Burrocious,First Edition,Base Set,Steel,,130,Joe Burrow,0,
13,Victory,First Edition,Base Set,Fire,,135,Victor Wembenyama,0,
14,Victory,First Edition,Base Set,Ice,,135,Victor Wembenyama,0,
15,Victory,First Edition,Base Set,Steel,,130,Victor Wembenyama,0,
16,Shrouded,First Edition,Base Set,Fire,,130,CJ Stroud,0,
17,Shrouded,First Edition,Base Set,Ice,,130,CJ Stroud,0,
18,Shrouded,First Edition,Base Set,Steel,,125,CJ Stroud,0,
19,Taze'em,First Edition,Base Set,Fire,,130,Jayson Tatum,0,
20,Taze'em,First Edition,Base Set,Ice,,130,Jayson Tatum,0,
21,Taze'em,First Edition,Base Set,Steel,,125,Jayson Tatum,0,
22,Caliber,First Edition,Base Set,Fire,,130,Caleb Williams,0,
23,Caliber,First Edition,Base Set,Ice,,130,Caleb Williams,0,
24,Caliber,First Edition,Base Set,Steel,,135,Caleb Williams,0,
25,C.C.,First Edition,Base Set,Fire,,130,Caitlin Clark,0,
26,C.C.,First Edition,Base Set,Ice,,130,Caitlin Clark,0,
27,C.C.,First Edition,Base Set,Steel,,125,Caitlin Clark,0,
28,Doublecheck,First Edition,Base Set,Fire,,130,Aaron Rodgers,0,
29,Doublecheck,First Edition,Base Set,Ice,,130,Aaron Rodgers,0,
30,Doublecheck,First Edition,Base Set,Steel,,125,Aaron Rodgers,0,
31,Cobra,First Edition,Base Set,Fire,,125,Kevin Durant,0,
32,Cobra,First Edition,Base Set,Ice,,125,Kevin Durant,0,
33,Cobra,First Edition,Base Set,Steel,,120,Kevin Durant,0,
34,Cruze-Control,First Edition,Base Set,Fire,,125,Elly De La Cruz,0,
35,Cruze-Control,First Edition,Base Set,Ice,,125,Elly De La Cruz,0,
36,Cruze-Control,First Edition,Base Set,Steel,,120,Elly De La Cruz,0,
37,Processor,First Edition,Base Set,Fire,,125,Joel Embiid,0,
38,Processor,First Edition,Base Set,Ice,,125,Joel Embiid,0,
39,Processor,First Edition,Base Set,Steel,,120,Joel Embiid,0,
40,Burner,First Edition,Base Set,Fire,,125,Jalen Brunson,0,
41,Burner,First Edition,Base Set,Ice,,125,Jalen Brunson,0,
42,Burner,First Edition,Base Set,Steel,,120,Jalen Brunson,0,
43,Cowboy,First Edition,Base Set,Fire,,125,Corey Seager,0,
44,Cowboy,First Edition,Base Set,Ice,,125,Corey Seager,0,
45,Cowboy,First Edition,Base Set,Steel,,120,Corey Seager,0,
46,Yeti,First Edition,Base Set,Fire,,120,Travis Kelce,0,
47,Yeti,First Edition,Base Set,Ice,,120,Travis Kelce,0,
48,Yeti,First Edition,Base Set,Steel,,115,Travis Kelce,0,
49,Tattoo,First Edition,Base Set,Fire,,120,Fernando Tatís Jr.,0,
50,Tattoo,First Edition,Base Set,Ice,,120,Fernando Tatís Jr.,0,
51,Tattoo,First Edition,Base Set,Steel,,115,Fernando Tatís Jr.,0,
52,Superbaby,First Edition,Base Set,Fire,,120,Rafael Devers,0,
53,Superbaby,First Edition,Base Set,Ice,,120,Rafael Devers,0,
54,Superbaby,First Edition,Base Set,Steel,,115,Rafael Devers,0,
55,Jeesaw,First Edition,Base Set,Fire,,120,Najee Harris,0,
56,Jeesaw,First Edition,Base Set,Ice,,120,Najee Harris,0,
57,Jeesaw,First Edition,Base Set,Steel,,115,Najee Harris,0,
58,Tongue-Twister,First Edition,Base Set,Fire,,120,Tua Tagovailoa,0,
59,Tongue-Twister,First Edition,Base Set,Ice,,120,Tua Tagovailoa,0,
60,Tongue-Twister,First Edition,Base Set,Steel,,115,Tua Tagovailoa,0,
61,Halo,First Edition,Base Set,Fire,,115,Angel Reese,0,
62,Halo,First Edition,Base Set,Ice,,115,Angel Reese,0,
63,Halo,First Edition,Base Set,Steel,,110,Angel Reese,0,
64,Eagle-Eye,First Edition,Base Set,Fire,,115,Jalen Hurts,0,
65,Eagle-Eye,First Edition,Base Set,Ice,,115,Jalen Hurts,0,
66,Eagle-Eye,First Edition,Base Set,Steel,,110,Jalen Hurts,0,
67,Turntable,First Edition,Base Set,Fire,,115,Trea Turner,0,
68,Turntable,First Edition,Base Set,Ice,,115,Trea Turner,0,
69,Turntable,First Edition,Base Set,Steel,,110,Trea Turner,0,
70,Bandelero,First Edition,Base Set,Fire,,115,Paolo Banchero,0,
71,Bandelero,First Edition,Base Set,Ice,,115,Paolo Banchero,0,
72,Bandelero,First Edition,Base Set,Steel,,110,Paolo Banchero,0,
73,Marverati,First Edition,Base Set,Fire,,115,Marvin Harrison Jr.,0,
74,Marverati,First Edition,Base Set,Ice,,115,Marvin Harrison Jr.,0,
