Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
OKC-1,Shystep,World Champion Debut,Battlefoil,Super,,200,Shai Gilgeous-Alexander,0,
OKC-2,Chetmate,World Champion Debut,Battlefoil,Super,,200,Chet Holmgren,0,
OKC-3,Hartbreaker,World Champion Debut,Battlefoil,Super,,200,Isaiah Hartenstein,0,
OKC-4,J-Dub^2,World Champion Debut,Battlefoil,Super,,200,Jalen Williams,0,
OKC-5,A.C.,World Champion Debut,Battlefoil,Super,,200,Alex Caruso,0,
OKC-6,Shystep,World Champion Debut,Battlefoil,Hex,,185,Shai Gilgeous-Alexander,0,
OKC-7,Chetmate,World Champion Debut,Battlefoil,Hex,,185,Chet Holmgren,0,
OKC-8,Hartbreaker,World Champion Debut,Battlefoil,Hex,,185,Isaiah Hartenstein,0,
OKC-9,J-Dub^2,World Champion Debut,Battlefoil,Hex,,185,Jalen Williams,0,
OKC-10,A.C.,World Champion Debut,Battlefoil,Hex,,185,Alex Caruso,0,
OKC-11,Shystep,World Champion Debut,Battlefoil,Glow,,140,Shai Gilgeous-Alexander,0,
OKC-12,Chetmate,World Champion Debut,Battlefoil,Glow,,140,Chet Holmgren,0,
OKC-13,Hartbreaker,World Champion Debut,Battlefoil,Glow,,140,Isaiah Hartenstein,0,
OKC-14,J-Dub^2,World Champion Debut,Battlefoil,Glow,,140,Jalen Williams,0,
OKC-15,A.C.,World Champion Debut,Battlefoil,Glow,,140,Alex Caruso,0,
OKC-16,Shystep,World Champion Debut,Battlefoil,Fire,,135,Shai Gilgeous-Alexander,0,
OKC-17,Chetmate,World Champion Debut,Battlefoil,Fire,,135,Chet Holmgren,0,
OKC-18,Hartbreaker,World Champion Debut,Battlefoil,Fire,,135,Isaiah Hartenstein,0,
OKC-19,J-Dub^2,World Champion Debut,Battlefoil,Fire,,135,Jalen Williams,0,
OKC-20,A.C.,World Champion Debut,Battlefoil,Fire,,135,Alex Caruso,0,
OKC-21,Shystep,World Champion Debut,Battlefoil,Ice,,135,Shai Gilgeous-Alexander,0,
OKC-22,Chetmate,World Champion Debut,Battlefoil,Ice,,135,Chet Holmgren,0,
OKC-23,Hartbreaker,World Champion Debut,Battlefoil,Ice,,135,Isaiah Hartenstein,0,
OKC-24,J-Dub^2,World Champion Debut,Battlefoil,Ice,,135,Jalen Williams,0,
OKC-25,A.C.,World Champion Debut,Battlefoil,Ice,,135,Alex Caruso,0,
OKC-26,Shystep,World Champion Debut,Battlefoil,Steel,,130,Shai Gilgeous-Alexander,0,
OKC-27,Chetmate,World Champion Debut,Battlefoil,Steel,,130,Chet Holmgren,0,
OKC-28,Hartbreaker,World Champion Debut,Battlefoil,Steel,,130,Isaiah Hartenstein,0,
OKC-29,J-Dub^2,World Champion Debut,Battlefoil,Steel,,130,Jalen Williams,0,
OKC-30,A.C.,World Champion Debut,Battlefoil,Steel,,130,Alex Caruso,0,
OKC-31,Shystep,Champions Alt Variation,Battlefoil,ALT,,200,Shai Gilgeous-Alexander,0,
OKC-32,Shystep,Champions Alt Variation,Battlefoil,HEX,,185,Shai Gilgeous-Alexander,0,
OKC-33,Shystep,Champions Alt Variation,Battlefoil,GLOW,,140,Shai Gilgeous-Alexander,0,
OKC-34,Shystep,Champions Alt Variation,Battlefoil,FIRE,,135,Shai Gilgeous-Alexander,0,
OKC-35,Shystep,Champions Alt Variation,Battlefoil,ICE,,135,Shai Gilgeous-Alexander,0,
OKC-36,Shystep,Champions Alt Variation,Battlefoil,STEEL,,130,Shai Gilgeous-Alexander,0,
