bv_id,external_card_number,internal_card_number,name,type,set,sub_set,variations,element,power,cost,image_url,is_placeholder,filename,download_status,error
1,PL-46,PL-046,10/10 Unfair,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays46-1-bz1.webp,0,PL-46_10_10_Unfair.webp,ok,
2,PL-72,PL-072,10 For A Sub,Play,Griffey,2025 Release,,,,1,https://images.bazookavault.com/card_fronts/2026/Griffey-Plays/2026-Plays_page-0072-bz1.webp,0,PL-72_10_For_A_Sub.webp,ok,
3,PL-7,PL-007,10 Per Play,Play,Alpha,2025 Update,,,,1,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-AlphaUpdate/PLAYS-AlphaUpdate_page-0007-bz1.webp,0,PL-7_10_Per_Play.webp,ok,
4,PL-79,PL-079,1-4-1 Hero,Play,Alpha,2024 Release,Base (Paper),,,1,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays79-1-bz1.webp,0,PL-79_1-4-1_Hero.webp,ok,
5,S-61/100,S-061/100,1-4-1 Hero,Play,2024 National Show Starter Set,Release,Base (Paper),,,1,https://images.bazookavault.com/card_fronts/2025/2024-national-show-starter-set61-1-bz1.webp,0,S-61_100_1-4-1_Hero.webp,ok,
6,HTD-16,HTD-16,1-4-1 Play,Home Team Discount Play,Alpha,Blast,,,,,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-HTD/PLAYS-HTD_page-0016-bz1.webp,0,HTD-16_1-4-1_Play.webp,ok,
7,PL-80,PL-080,1-4-1 Play,Play,Alpha,2024 Release,Base (Paper),,,1,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays80-1-bz1.webp,0,PL-80_1-4-1_Play.webp,ok,
8,S-62/100,S-062/100,1-4-1 Play,Play,2024 National Show Starter Set,Release,Base (Paper),,,1,https://images.bazookavault.com/card_fronts/2025/2024-national-show-starter-set62-1-bz1.webp,0,S-62_100_1-4-1_Play.webp,ok,
9,PL-14,PL-014,1/6 For 15,Play,Alpha,2025 Update,,,,1,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-AlphaUpdate/PLAYS-AlphaUpdate_page-0014-bz1.webp,0,PL-14_1_6_For_15.webp,ok,
10,PL-22,PL-022,1 For 10,Play,Alpha,2025 Update,,,,,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-AlphaUpdate/PLAYS-AlphaUpdate_page-0022-bz1.webp,0,PL-22_1_For_10.webp,ok,
11,SSE-25,SSE-25,2010's ERA,Play,Superfan Series,Sandstorm Edition,,,,1,https://images.bazookavault.com/card_fronts/2025/sandstorm25-1-bz1.webp,0,SSE-25_2010_s_ERA.webp,ok,
12,SSE-26,SSE-26,2017 Cinderellas,Play,Superfan Series,Sandstorm Edition,,,,1,https://images.bazookavault.com/card_fronts/2025/sandstorm26-1-bz1.webp,0,SSE-26_2017_Cinderellas.webp,ok,
13,PL-23,PL-023,2 For 20,Play,Alpha,2025 Update,,,,1,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-AlphaUpdate/PLAYS-AlphaUpdate_page-0023-bz1.webp,0,PL-23_2_For_20.webp,ok,
14,PL-45,PL-045,2 Get 10,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays45-1-bz1.webp,0,PL-45_2_Get_10.webp,ok,
15,PL-52,PL-052,2 Plays,Play,Alpha,2025 Update,,,,2,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-AlphaUpdate/PLAYS-AlphaUpdate_page-0052-bz1.webp,0,PL-52_2_Plays.webp,ok,
16,PL-67,PL-067,3-Dog-Special,Play,Griffey,2025 Release,,,,,https://images.bazookavault.com/card_fronts/2026/Griffey-Plays/2026-Plays_page-0067-bz1.webp,0,PL-67_3-Dog-Special.webp,ok,
17,HTD-4,HTD-04,3rd Time Charm,Home Team Discount Play,Alpha,Blast,,,,1,https://images.bazookavault.com/card_fronts/alpha_update_2025/PLAYS-HTD/PLAYS-HTD_page-0004-bz1.webp,0,HTD-4_3rd_Time_Charm.webp,ok,
18,PL-49,PL-049,3rd Time Charm,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays49-1-bz1.webp,0,PL-49_3rd_Time_Charm.webp,ok,
19,BPL-6,BPL-06,3 Weapon Streak,Bonus Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-bonusplays6-1-bz1.webp,0,BPL-6_3_Weapon_Streak.webp,ok,
20,PL-10,PL-010,4 New Plays Baby!,Play,Alpha,2024 Release,Base (Paper),,,2,https://images.bazookavault.com/card_fronts/2025/alphaedition-100plays10-1-bz1.webp,0,PL-10_4_New_Plays_Baby.webp,ok,
21,LA-26,LA-26,50/50 Plays On Sale,Play,World Champions,2024 - LA Dodgers,,,,1,https://images.bazookavault.com/card_fronts/2025/2024-world-champions26-1-bz1.webp,0,LA-26_50_50_Plays_On_Sale.webp,ok,
22,BPL-7,BPL-07,5 Weapon Streak,Bonus Play,Alpha,2024 Release,Base (Paper),,,3,https://images.bazookavault.com/card_fronts/2025/alphaedition-bonusplays7-1-bz1.webp,0,BPL-7_5_Weapon_Streak.webp,ok,
23,76,076,Action,Hero,Alpha,2024 Release,Base (Paper),Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basepaper76-1-bz1.webp,0,76_Action_Fire_P110.webp,ok,
24,77,077,Action,Hero,Alpha,2024 Release,Base (Paper),Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basepaper77-1-bz1.webp,0,77_Action_Ice_P110.webp,ok,
25,78,078,Action,Hero,Alpha,2024 Release,Base (Paper),Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basepaper78-1-bz1.webp,0,78_Action_Steel_P105.webp,ok,
26,BBF-56,BBF-56,Action,Hero,Alpha,2024 Release,Blue Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-invertedbattlefoils284-1-bz1.webp,0,BBF-56_Action_Ice_P110.webp,ok,
27,BF-126,BF-126,Action,Hero,Alpha,2024 Release,Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basebattlefoils126-1-bz1.webp,0,BF-126_Action_Hex_P160.webp,ok,
28,BF-127,BF-127,Action,Hero,Alpha,2024 Release,Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basebattlefoils127-1-bz1.webp,0,BF-127_Action_Glow_P115.webp,ok,
29,BF-128,BF-128,Action,Hero,Alpha,2024 Release,Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basebattlefoils128-1-bz1.webp,0,BF-128_Action_Fire_P110.webp,ok,
30,BF-129,BF-129,Action,Hero,Alpha,2024 Release,Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basebattlefoils129-1-bz1.webp,0,BF-129_Action_Ice_P110.webp,ok,
31,BF-130,BF-130,Action,Hero,Alpha,2024 Release,Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-basebattlefoils130-1-bz1.webp,0,BF-130_Action_Steel_P105.webp,ok,
32,BGBF-26,BGBF-26,Action,Hero,Alpha,2024 Release,Bubble Gum Battlefoil,Gum,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-bubblegum26-1-bz1.webp,0,BGBF-26_Action_Gum_P160.webp,ok,
33,BL-B57,BL-B057,Action,Hero,Alpha,Blast,Blue Blast,Ice,110,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Ice-bz1.webp,1,,,
34,BLBF-126,BLBF-126,Action,Hero,Alpha,2024 Release,Blizzard Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-blizzard126-1-bz1.webp,0,BLBF-126_Action_Hex_P160.webp,ok,
35,BLBF-127,BLBF-127,Action,Hero,Alpha,2024 Release,Blizzard Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-blizzard127-1-bz1.webp,0,BLBF-127_Action_Glow_P115.webp,ok,
36,BLBF-128,BLBF-128,Action,Hero,Alpha,2024 Release,Blizzard Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-blizzard128-1-bz1.webp,0,BLBF-128_Action_Fire_P110.webp,ok,
37,BLBF-129,BLBF-129,Action,Hero,Alpha,2024 Release,Blizzard Battlefoil,Ice,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-blizzard129-1-bz1.webp,0,BLBF-129_Action_Ice_P110.webp,ok,
38,BLBF-130,BLBF-130,Action,Hero,Alpha,2024 Release,Blizzard Battlefoil,Steel,105,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-blizzard130-1-bz1.webp,0,BLBF-130_Action_Steel_P105.webp,ok,
39,BL-BG57,BL-BG057,Action,Hero,Alpha,Blast,Bubble Gum Blast,Gum,160,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Gum-bz1.webp,1,,,
40,BL-G57,BL-G057,Action,Hero,Alpha,Blast,Green Blast,Glow,115,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Glow-bz1.webp,1,,,
41,BL-O57,BL-O057,Action,Hero,Alpha,Blast,Orange Blast,Fire,110,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Fire-bz1.webp,1,,,
42,BL-P57,BL-P057,Action,Hero,Alpha,Blast,Pink Blast,Hex,160,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Hex-bz1.webp,1,,,
43,BL-S57,BL-S057,Action,Hero,Alpha,Blast,Silver Blast,Steel,105,,https://images.bazookavault.com/card_fronts/Temporary_Blast_Steel-bz1.webp,1,,,
44,GBF-56,GBF-56,Action,Hero,Alpha,2024 Release,Green Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-invertedbattlefoils132-1-bz1.webp,0,GBF-56_Action_Glow_P115.webp,ok,
45,GLBF-276,GLBF-276,Action,Hero,Alpha,2024 Release,Grandma's Linoleum Battlefoil,Hex,160,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-linoleum276-1-bz1.webp,0,GLBF-276_Action_Hex_P160.webp,ok,
46,GLBF-277,GLBF-277,Action,Hero,Alpha,2024 Release,Grandma's Linoleum Battlefoil,Glow,115,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-linoleum277-1-bz1.webp,0,GLBF-277_Action_Glow_P115.webp,ok,
47,GLBF-278,GLBF-278,Action,Hero,Alpha,2024 Release,Grandma's Linoleum Battlefoil,Fire,110,,https://images.bazookavault.com/card_fronts/2025/alphaedition-sets-linoleum278-1-bz1.webp,0,GLBF-278_Action_Fire_P110.webp,ok,
